Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BRK.B,Predicted_Covariance,Future_Cov_45_BRK.B,Beta_Predicted
2014-01-22,6.0180607898710316e-05,0.7930806337877372,9.186389937488404e-05,0.9857081433301876,5.896822675277652e-05,6.310303100666124e-05,0.9798542888105359
2014-01-23,6.197862719476769e-05,0.7971846464639457,9.768245706012329e-05,0.948886947316494,6.20280587497437e-05,5.970587543490689e-05,1.0007975580811217
2014-01-24,8.312838911315208e-05,0.7921065445237289,0.0001011808837530029,0.9935205928000872,7.264529940952386e-05,5.263470014875533e-05,0.8738927842164855
2014-01-27,7.785643656399444e-05,0.7944145490418882,9.95891994751538e-05,0.9749307147611544,6.995207011571118e-05,5.1508707345422485e-05,0.8984751062709346
2014-01-28,5.7778264472590076e-05,0.7841021444273,9.561085394340053e-05,0.972806649093539,5.827851626782854e-05,5.100332374672306e-05,1.0086581312160352
2014-01-29,5.541992369045716e-05,0.7769258781698286,8.96763828458428e-05,0.9826031493143844,5.477111602511809e-05,4.9000602467397495e-05,0.9882928805719234
2014-01-30,5.718939038351772e-05,0.7736639615523961,9.289396816393073e-05,0.9253957612976482,5.639022901286441e-05,4.7841753990735554e-05,0.9860260554397581
2014-01-31,5.786696567157789e-05,0.7725243351551412,9.176490403006356e-05,0.8886288411420833,5.629448253542434e-05,4.791001910182383e-05,0.9728258926677074
2014-02-03,7.055814511505822e-05,0.7608665044481907,9.774463871693997e-05,0.815102624729532,6.318711344373732e-05,3.361163735324775e-05,0.8955325191825684
2014-02-04,5.3287933521446234e-05,0.7369376442475015,9.273151336019665e-05,0.8169165299788643,5.1803470405026304e-05,3.47185861931305e-05,0.9721426030562342
2014-02-05,5.1744253938995175e-05,0.7267614133162001,8.778006976983324e-05,0.7985702792991914,4.8980237477293176e-05,4.299456237008853e-05,0.9465831227374408
2014-02-06,5.460185755120456e-05,0.722395055660833,8.595639889418273e-05,0.7937437209234244,4.949001437598069e-05,4.170128443986491e-05,0.9063796836869499
2014-02-07,6.356327391387762e-05,0.725407418430848,9.158204618778517e-05,0.7272922395902445,5.534651666275716e-05,3.678588370689823e-05,0.8707310567065282
2014-02-10,6.2547563500994e-05,0.7270772519025703,8.737100182046015e-05,0.744389319632782,5.374887927617778e-05,3.831311637773164e-05,0.8593281059672869
2014-02-11,5.609995653519849e-05,0.7054300464521721,8.215818402993475e-05,0.7857657699906265,4.7891741724541134e-05,4.026608105863403e-05,0.8536858971449056
2014-02-12,5.280573476410588e-05,0.6925679476197304,7.397105971165649e-05,0.7882233116991648,4.3284644357034744e-05,4.040691031986751e-05,0.8196959014091213
2014-02-13,5.31879934714369e-05,0.6886386893514198,7.391159423715126e-05,0.7618941046870816,4.317720315690495e-05,3.883689643067698e-05,0.811784772066877
2014-02-14,5.362200748552388e-05,0.6894487298260992,6.94484960576133e-05,0.7702722286366673,4.207314072593748e-05,3.9109669950440184e-05,0.784624498388946
2014-02-18,5.088126402858046e-05,0.7052283512206172,6.811248221705344e-05,0.7715986871365461,4.151662706914008e-05,3.93009098541678e-05,0.8159511730254937
2014-02-19,5.093399391722896e-05,0.7029756794642648,7.279050072960253e-05,0.7386964799846384,4.2803720516089104e-05,3.6813091950568106e-05,0.8403762835808227
2014-02-20,5.128532994270177e-05,0.7119973705319318,7.346522692105606e-05,0.7362199586148679,4.370346578566632e-05,3.74427513278247e-05,0.8521631007247835
2014-02-21,5.0142924359823583e-05,0.7165765151296948,7.455647141318302e-05,0.7340412963360522,4.38137143800064e-05,3.742993596787332e-05,0.8737766083525756
2014-02-24,5.289213529725008e-05,0.7197144400761197,7.467472081005129e-05,0.7493009459407584,4.523166453459379e-05,3.806880678698927e-05,0.8551680562789725
2014-02-25,4.99909412374215e-05,0.7256041113621721,6.764288224508882e-05,0.7485149691309795,4.2194558202277034e-05,3.8134383903322846e-05,0.8440440839447856
2014-02-26,4.8822079787728685e-05,0.7256231815797123,6.887010558158247e-05,0.7479085047598245,4.207602080614868e-05,3.8103185335348676e-05,0.8618236049977616
2014-02-27,4.902946505121921e-05,0.7404522851457455,7.099537238771254e-05,0.7518087903032789,4.368583849903169e-05,3.794491729041429e-05,0.8910119344234076
2014-02-28,4.913560627678946e-05,0.7511647094770825,7.169358174524695e-05,0.7339360483639277,4.458342969143128e-05,3.700272968313543e-05,0.9073548302281043
