Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BKNG,Predicted_Covariance,Future_Cov_45_BKNG,Beta_Predicted
2014-09-25,8.684570042440597e-05,0.5939167579664285,0.00035359197903807045,1.4292317507987031,0.00010407608401125616,9.901121759233616e-05,1.1984022640458547
2014-09-26,7.784867175631449e-05,0.5924900709861126,0.00032986276468535745,1.4160580992142549,9.49452686422062e-05,9.86361839846372e-05,1.2196132124053223
2014-09-29,7.945972408695768e-05,0.5892974457622098,0.00030368487757752527,1.3753327463343037,9.154184644573597e-05,9.649070544239981e-05,1.1520534144512768
2014-09-30,7.034453028421699e-05,0.584383566563301,0.0003040335964965777,1.3694129175019103,8.546217672710593e-05,9.587297370458427e-05,1.214908627320536
2014-10-01,6.051441443903661e-05,0.5826341909624356,0.0003043505248722352,1.3721802954926008,7.90701225801301e-05,8.925671686378578e-05,1.3066328628162944
2014-10-02,5.727685640094654e-05,0.5804153706882541,0.0003003416794596966,1.3737653318649523,7.612657561788826e-05,8.930492482858859e-05,1.3290983549270035
2014-10-03,5.732458945014978e-05,0.574889942112845,0.00030118867099781485,1.3832010792975449,7.553956910718572e-05,8.901563918510858e-05,1.3177515937183628
2014-10-06,5.950629355094935e-05,0.572237416199492,0.00030590388220797833,1.368964367389602,7.720584766509268e-05,8.803675085487759e-05,1.2974400363045455
2014-10-07,5.823383972398379e-05,0.575095067778804,0.0002975896451600274,1.4090582552003998,7.570703959967743e-05,9.12719184802919e-05,1.3000523399884492
2014-10-08,6.403572465426801e-05,0.5656002253624541,0.00030359329404654667,1.4430768873532518,7.886182538184619e-05,8.523921855628368e-05,1.2315285851393893
2014-10-09,6.579132724406009e-05,0.5558623171997159,0.00030520859315728534,1.4027973020397404,7.876802130605718e-05,7.832012000174824e-05,1.1972401926755274
2014-10-10,6.388921163395802e-05,0.5404723115454844,0.00030814314003477163,1.347603832517783,7.583391306835673e-05,7.238457502852739e-05,1.186959599733892
2014-10-13,7.100010076144222e-05,0.5275485063238481,0.00030309063571465567,1.4429273062149484,7.738880482573883e-05,7.00099344789517e-05,1.0899816196847725
2014-10-14,5.126108009219706e-05,0.5251407286999691,0.00031775965676572924,1.4535765866762729,6.702224294070004e-05,8.123581506967583e-05,1.3074684111250738
2014-10-15,4.732231652345586e-05,0.5423371295722194,0.00033601417651636184,1.462570972820112,6.83881942523897e-05,9.598353342580843e-05,1.4451573649927363
2014-10-16,5.30327919984953e-05,0.5485043162774713,0.0003546324420389639,1.4707113091578092,7.522141984892513e-05,9.660740296525191e-05,1.4183944879058865
2014-10-17,4.626798859027275e-05,0.5506815518146972,0.0003651033913446489,1.5351799526584562,7.157292581176263e-05,9.787181523230348e-05,1.5469210569229266
2014-10-20,4.9165393824874467e-05,0.5416406205104118,0.0003748365497203716,1.5056145261527911,7.352955775826405e-05,9.401603577775976e-05,1.4955551463733605
2014-10-21,6.127847379397686e-05,0.5301939381759706,0.00038895249010606605,1.5088678419184618,8.18534532518746e-05,8.334251282345238e-05,1.3357619435345676
2014-10-22,6.0122674099070425e-05,0.5316514042304598,0.00037338152196385993,1.4963962817077607,7.965673848717301e-05,8.012544737652704e-05,1.3249034524963788
2014-10-23,6.055871725038731e-05,0.5325389833572337,0.0003619039075644738,1.4996084588919885,7.883814093330068e-05,7.694278801950598e-05,1.3018462826307051
2014-10-24,5.99990058104541e-05,0.534756422096518,0.000351105412604062,1.5089990007036065,7.76152030941933e-05,7.763170539998993e-05,1.29360815309826
2014-10-27,5.8561423507449295e-05,0.5334834181217749,0.00033778422754360054,1.4659126802286555,7.503198240470261e-05,7.931470133158935e-05,1.2812527071709277
2014-10-28,5.4522480778452264e-05,0.5236824286611093,0.00035525710148050926,1.4440302181415468,7.28831593368876e-05,7.458082915343243e-05,1.336754276333142
2014-10-29,5.3729820257279105e-05,0.5276527425192069,0.0003616528248705465,1.524103707938237,7.355324278564538e-05,9.082164506069907e-05,1.3689463771411123
2014-10-30,5.3551839514494966e-05,0.529140577709335,0.0003634262083031473,1.5394232710228342,7.381869876369375e-05,9.368909750110272e-05,1.378453092049492
2014-10-31,5.56093263598845e-05,0.5347402445247177,0.00039279748665055163,1.270223803177443,7.903164789011933e-05,7.799726050539417e-05,1.4211941245008723
2014-11-03,5.4562010343014535e-05,0.5375482601367771,0.00040078305624460813,1.2290243276306665,7.94908825333913e-05,8.385266648942849e-05,1.4568906466909235
2014-11-04,6.02491600622342e-05,0.5969711888923935,0.00045209155497898226,1.172593270113271,9.852400720246797e-05,8.15031973205131e-05,1.6352760287562165
2014-11-05,6.0354415020847636e-05,0.6047802562797785,0.0004768884002664259,1.1914394747216095,0.00010260310568520495,8.35611482838917e-05,1.7000099437591063
2014-11-06,5.86925643313682e-05,0.6079911125849213,0.0004936950518818408,1.1911027100045068,0.00010349471203814136,8.330485038517568e-05,1.7633360071614503
2014-11-07,5.828791566618652e-05,0.6020244180661366,0.0005022260755725851,1.1806031608888723,0.00010300374098525974,8.345781563108216e-05,1.7671543030490173
2014-11-10,5.7340540123530906e-05,0.6009009447991664,0.0005036939084572959,1.22542250064951,0.00010212148604780489,8.842821519996478e-05,1.7809648431598428
2014-11-11,6.57571982494724e-05,0.6089292760843332,0.00046587397052872667,1.1934914214557908,0.00010657926673026987,9.09746371141866e-05,1.620799997072944
2014-11-12,6.673646336542344e-05,0.6046388553629907,0.00043486713825993743,1.2047911185240128,0.00010300443910917711,9.196911813426746e-05,1.543450670215532
2014-11-13,7.11343776232816e-05,0.5995872662604197,0.0004091472811872501,1.2271000521557525,0.00010228972329288022,9.438689587625538e-05,1.4379787482585884
2014-11-14,6.859476809423724e-05,0.5971590831025542,0.00038929937056596703,1.1791558082222002,9.758372438369641e-05,9.650578181617872e-05,1.4226117690147069
2014-11-17,6.853595565786147e-05,0.5935968780456787,0.0003741127199068829,1.182808841083118,9.504999139481903e-05,9.765038499117634e-05,1.3868631506259042
2014-11-18,7.650833651469074e-05,0.6097170348868768,0.0003582621803527589,1.1912198170809094,0.0001009446231321839,9.760056902342168e-05,1.319393777602275
2014-11-19,7.466095393809579e-05,0.6181253639997498,0.00035225654431137387,1.2204176624884178,0.00010024272571679343,0.00010472064978100157,1.3426392301377297
2014-11-20,7.31046489834875e-05,0.6228036701713403,0.000346649686367413,1.1970242544320815,9.914460048652476e-05,0.00010681660633246681,1.3562010332464496
2014-11-21,7.04730363634149e-05,0.6189912154168883,0.0003419982461635298,1.2127006271723897,9.609657672478221e-05,0.00010988228065485212,1.3635935342594294
2014-11-24,6.987047932397521e-05,0.6104825538845883,0.00033042183311860537,1.1717384635423942,9.275866440996508e-05,0.00010966549017981986,1.3275801927715711
2014-11-25,8.166110492431963e-05,0.6156002930802262,0.0003192847656721643,1.1459753169317322,9.940209608710368e-05,0.00011166720495362676,1.2172514219496016
