Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_COST,Predicted_Covariance,Future_Cov_45_COST,Beta_Predicted
2013-06-24,5.5679700730278476e-05,0.5482106834975266,9.876242788383813e-05,0.7207575522061828,4.065292696826937e-05,2.705395804426715e-05,0.7301211471160515
2013-06-25,5.683904438603972e-05,0.5389390428481204,9.681065034426824e-05,0.703711175086047,3.9978325473002176e-05,2.5296646346923116e-05,0.7033602676617358
2013-06-26,5.616484134519195e-05,0.5210652947683029,9.192167900683836e-05,0.6968983308863214,3.743978883792184e-05,2.3731902982314996e-05,0.6666054410768297
2013-06-27,5.600093181678947e-05,0.5091804022199847,9.129314380989514e-05,0.6841340628257084,3.6407292917808755e-05,2.3047988137396707e-05,0.6501194129575821
2013-06-28,5.651835513949762e-05,0.5134041741771759,9.029668168139843e-05,0.662220963331631,3.667668266659322e-05,2.2246315686063574e-05,0.6489340069446196
2013-07-01,4.0959150997653995e-05,0.5108031788613852,8.777767455108714e-05,0.6308145316705368,3.062817359164967e-05,2.1635906853065032e-05,0.7477736438776271
2013-07-02,4.708768430286185e-05,0.5196681754894045,8.541420950858547e-05,0.6466713924545722,3.295678591917478e-05,2.2150538024362983e-05,0.6999024565999259
2013-07-03,4.5307854285029834e-05,0.5275490550089198,8.349974101111596e-05,0.646989057857251,3.244831588493097e-05,2.2161155017654827e-05,0.7161741909206284
2013-07-05,5.048108536897671e-05,0.5258215574335112,8.445144579368403e-05,0.6576808628299112,3.4332566792256896e-05,2.219289873564586e-05,0.6801075401076077
2013-07-08,5.858594159480322e-05,0.530393715004981,8.573269172311405e-05,0.6980440895419731,3.758965207916661e-05,2.386895543229252e-05,0.6416155660541768
2013-07-09,6.185296409698371e-05,0.4968325164360247,8.511346729671065e-05,0.7175172355599811,3.60486837010079e-05,2.3930381160227604e-05,0.5828125495244589
2013-07-10,6.043816195282401e-05,0.47862882628415915,8.594260974062806e-05,0.7342092197271494,3.4495206090176996e-05,2.4656853196838513e-05,0.5707520708042509
2013-07-11,6.428746384905295e-05,0.47352060883074826,9.10588739478657e-05,0.6232554783798583,3.6229569174385705e-05,1.853390087464914e-05,0.563555738634406
2013-07-12,6.999194674271863e-05,0.475953824096389,9.204584972884903e-05,0.6193441349178954,3.820242772309801e-05,1.8837344965984996e-05,0.5458117612234049
2013-07-15,7.060701256657018e-05,0.48910997590032246,9.460323169077688e-05,0.6442238992537633,3.997453543267416e-05,1.9661386159115356e-05,0.5661553148844117
2013-07-16,3.5042919617133015e-05,0.4909847854164834,9.867727891894156e-05,0.6581399285948387,2.8871992631965487e-05,2.1606254802302737e-05,0.8239037428219745
2013-07-17,3.792838595062833e-05,0.5395904018202246,0.00010311656545528917,0.6410502343790868,3.3745091989660026e-05,2.1075771735592424e-05,0.889705457901274
2013-07-18,3.7451029819475974e-05,0.5684125863747105,0.00010686860460651625,0.6847993508813103,3.5960079030226754e-05,2.4480468862442733e-05,0.9601893246611374
2013-07-19,4.0860668714576163e-05,0.5982807973139429,0.00011704729585724912,0.6769460309310358,4.137504613394351e-05,2.4515952794283004e-05,1.0125885707588493
2013-07-22,3.950888193740232e-05,0.6183353565515578,0.000123738132364154,0.6915224498693738,4.323378201406123e-05,2.507845209214982e-05,1.0942800680252258
2013-07-23,3.3171208880188284e-05,0.5658731065057468,0.00012124710615860644,0.7158576273515928,3.588685457723766e-05,2.602362993408672e-05,1.0818675528787047
2013-07-24,3.471216593235655e-05,0.5410798413169675,0.00012078955482582622,0.7145080389397964,3.503619226349468e-05,2.597760782290691e-05,1.0093346618522612
2013-07-25,3.488954269695917e-05,0.5311428467290562,0.00011844942198217795,0.7284702776500648,3.414486880344223e-05,2.675741375792203e-05,0.9786562437924462
2013-07-26,3.343176772700175e-05,0.5237008397418172,0.00012074837625868507,0.7360752575824188,3.3273891059308016e-05,2.747838355629651e-05,0.9952776452330332
2013-07-29,3.360094972876798e-05,0.5146786549363996,0.00012155899980918861,0.7170795546322698,3.2893152062658294e-05,2.763623600865245e-05,0.9789351886829648
2013-07-30,3.816574763863081e-05,0.511622866771893,0.00011983315580679173,0.7172566093188925,3.459993893506248e-05,2.7660310034427486e-05,0.9065704480014148
2013-07-31,3.750748633018741e-05,0.5054557901138084,0.00011980459893495303,0.6967416569980533,3.3882769433416726e-05,2.820933293743498e-05,0.9033601754897294
2013-08-01,4.226173154810077e-05,0.5000489254470304,0.00011402459457650921,0.6738340283921312,3.4712461432534844e-05,2.610917134487688e-05,0.8213686510460741
2013-08-02,4.130983358011611e-05,0.5073693634735694,0.00011244370952785338,0.6760195360369,3.4579486885793525e-05,2.7197049420040475e-05,0.8370764026131992
2013-08-05,3.7225611971094185e-05,0.49198925902870927,0.00010229962939553502,0.6901666663385432,3.036082543063507e-05,2.970000014243979e-05,0.8155896927687947
2013-08-06,4.1983018398946586e-05,0.48951626263553705,9.786741135537819e-05,0.7053687649377265,3.137783714712766e-05,2.9969448285447013e-05,0.7473935496718591
2013-08-07,4.81253999850549e-05,0.4866372321839902,9.562492300344953e-05,0.6629261477892178,3.3012472970647024e-05,3.506468482498531e-05,0.6859677629879207
2013-08-08,4.5117615842124565e-05,0.4446365855807524,9.57258338233543e-05,0.6857708807631185,2.9220849971668323e-05,3.670483761651511e-05,0.6476594435733891
2013-08-09,4.7210405389653165e-05,0.43484601782508975,9.376288507072315e-05,0.6700552416512164,2.8931426204715852e-05,3.594985567573577e-05,0.6128188471572962
2013-08-12,4.729046229109182e-05,0.4602583853050073,9.206562067777803e-05,0.6796753541946841,3.0369471341271907e-05,3.7290767929003526e-05,0.642190197979787
2013-08-13,5.1414947954433665e-05,0.4845798032946379,9.154128659118688e-05,0.7234763262248083,3.3244401258467705e-05,4.2642663555465284e-05,0.6465901956748152
2013-08-14,5.361675369996386e-05,0.5118744237894255,9.647125193977534e-05,0.7019045259680604,3.681396925156396e-05,4.1487218897125094e-05,0.6866131705319708
2013-08-15,5.120699157562921e-05,0.5309306042723435,0.00010112654933688548,0.6259879291288182,3.820630030900252e-05,3.433864916213957e-05,0.7461149177759141
2013-08-16,4.9139520575593413e-05,0.5148731328755839,9.760165771088177e-05,0.6319543106497307,3.565695759545841e-05,3.4403465491050825e-05,0.7256268921184487
2013-08-19,5.1240075352845624e-05,0.5185804271915246,9.686092814554435e-05,0.6488707829974553,3.65338393007794e-05,3.4758559930777154e-05,0.7129934733546501
2013-08-20,5.687877447837599e-05,0.5156744037569426,9.635457306101923e-05,0.6501764831328599,3.817568654129557e-05,3.5181526110127354e-05,0.6711763200138761
2013-08-21,5.746511661394483e-05,0.5208380944696517,9.694501644758514e-05,0.6291849631925093,3.8874752032057e-05,3.3309241861707835e-05,0.6764930504399851
2013-08-22,5.43081375808944e-05,0.4986777930457376,9.385776481241494e-05,0.6384320183022185,3.560308140542742e-05,3.3080517666179645e-05,0.655575443963532
2013-08-23,4.6628310947370826e-05,0.43950693593342754,8.282299527370818e-05,0.6345892409303363,2.731278848177763e-05,3.281926988360771e-05,0.5857554761656595
2013-08-26,5.7057237442025364e-05,0.46774549707731317,8.565506110665146e-05,0.6299832070311862,3.2699529223684156e-05,3.243836995400998e-05,0.573100463493513
2013-08-27,6.26349019454684e-05,0.5088762052400997,8.553568101673485e-05,0.7209477666231874,3.724723197025758e-05,3.26415163386375e-05,0.5946721526392108
2013-08-28,6.352118414260544e-05,0.49512490278666266,8.900602605125728e-05,0.7251993775024769,3.722920552322522e-05,3.3102077328995274e-05,0.5860911761286665
2013-08-29,6.345432123592429e-05,0.4879560534074506,9.149542779140492e-05,0.7298341441952366,3.718013886804014e-05,3.3324847776220984e-05,0.5859354909778914
2013-08-30,6.533098257867051e-05,0.4770357185546689,9.336493219067334e-05,0.7477533587832838,3.7256528583351206e-05,3.3807445378973065e-05,0.5702735074968067
2013-09-03,6.741624909395761e-05,0.4675395885674318,9.157364592440967e-05,0.7510957843176534,3.67354983579392e-05,3.421198286418731e-05,0.5449056993179962
2013-09-04,5.29054408502055e-05,0.47432349072464525,9.001371647214716e-05,0.8397747428754461,3.273249791411103e-05,3.7632739735203425e-05,0.6186981412136534
2013-09-05,5.526096611110341e-05,0.48882723356047225,0.00010248921423860056,0.8443912487553737,3.6787791105432165e-05,4.1627323964480086e-05,0.6657102416825194
2013-09-06,5.903493096893949e-05,0.49902959671075015,9.963582940391819e-05,0.7818162189113378,3.8272656166877956e-05,4.112635017919401e-05,0.6483052582379515
2013-09-09,5.950680039687122e-05,0.5083643130329313,9.896036148308969e-05,0.778215587892525,3.9011171462083636e-05,3.9771951835448854e-05,0.6555750133078031
2013-09-10,6.058865375686932e-05,0.5269041709264631,0.00010080028097495054,0.7525322883406372,4.117732775271458e-05,3.797404476376644e-05,0.6796211039438393
2013-09-11,5.2548421709793746e-05,0.5508775801660502,0.00010335226790788537,0.7394670877210403,4.05970934544392e-05,3.804462566006377e-05,0.7725654193506042
2013-09-12,5.463125330927889e-05,0.5669798983113118,0.000104207348629437,0.729182965427714,4.2779668681459404e-05,3.749673426677567e-05,0.783062186753703
2013-09-13,5.629719144726608e-05,0.5431216082728941,9.976790206839631e-05,0.735262686471099,4.0703885344501616e-05,3.7946125366767354e-05,0.7230180458048105
2013-09-16,5.4138744378514925e-05,0.5477931837748591,9.924280616900228e-05,0.7506488545844051,4.015320642166778e-05,3.878076863874979e-05,0.7416722881663776
2013-09-17,5.7555509167455784e-05,0.552288664795117,9.93523397409706e-05,0.7432512405556978,4.1763667506821044e-05,3.838651227931179e-05,0.7256241515527398
2013-09-18,6.204530316157312e-05,0.5619622926780504,9.839355082994645e-05,0.7653872418135871,4.3908130667076904e-05,3.7826644409988804e-05,0.7076785579197682
2013-09-19,6.178297806302708e-05,0.5642130878578812,9.73252844760307e-05,0.7809995307071146,4.375124502262383e-05,3.942057937720441e-05,0.7081439968463737
2013-09-20,6.675064824066973e-05,0.5720069918383023,9.842330106570885e-05,0.7831952481210354,4.6363695476633345e-05,3.680933022783269e-05,0.6945804527540894
2013-09-23,6.644616634370019e-05,0.5680517111707724,9.681028235406099e-05,0.783516915490641,4.5559985832595396e-05,3.628825890557858e-05,0.6856676365184305
2013-09-24,6.687102886618699e-05,0.5656359149285943,9.846188389985479e-05,0.7670155019755035,4.589760776531403e-05,3.530124450204771e-05,0.6863601255060385
2013-09-25,5.221698153901886e-05,0.5822059149310744,9.601377266165126e-05,0.752646009364079,4.1223917695788584e-05,3.43290393979794e-05,0.7894733950675458
2013-09-26,5.0374063840171386e-05,0.5851444335920174,9.431084524198705e-05,0.7464741750118619,4.0331780104882226e-05,3.403170150763324e-05,0.8006457496232253
2013-09-27,5.122431082106018e-05,0.5945384134861118,9.355706182602778e-05,0.7631737017537122,4.115819012924585e-05,3.443947971155641e-05,0.8034893875492459
2013-09-30,5.1567877421329924e-05,0.5966502116327046,9.21721940426253e-05,0.7477262857272217,4.1134799958807044e-05,3.3526057864162156e-05,0.7976826275535733
2013-10-01,5.3629225784131454e-05,0.5851698833114433,9.116602731567568e-05,0.7798153403556463,4.091657236696207e-05,3.4263405039417e-05,0.762952881916655
2013-10-02,4.9785428743887e-05,0.5821099857811088,8.96533908337028e-05,0.8175359747655684,3.8890142561915474e-05,3.642991962253618e-05,0.781155119944421
2013-10-03,5.1677659876475144e-05,0.5685736223444879,8.83986805060517e-05,0.8394296221479002,3.8429171240133965e-05,3.698002170909264e-05,0.7436321871383307
2013-10-04,4.988490741732951e-05,0.5562753191370456,8.743067915111755e-05,0.8560358614712912,3.6737221164903005e-05,3.7048911216674145e-05,0.736439598004363
2013-10-07,5.300164613196136e-05,0.5620044062552291,8.718977191605019e-05,0.8768355467737561,3.8204733136032e-05,3.636990170741573e-05,0.7208216333679788
2013-10-08,5.7418241986777646e-05,0.5778233324562769,8.782736835684611e-05,0.8915210597805504,4.10331591996988e-05,3.675393309885956e-05,0.7146362859585281
2013-10-09,4.671951297786224e-05,0.584826219300002,9.41787343244094e-05,0.900802616805934,3.8792914854063914e-05,3.7624634161040654e-05,0.8303364564704624
2013-10-10,5.493659376391755e-05,0.5808142441239529,9.503038070118136e-05,1.0255821493410504,4.1966172104586534e-05,3.361505845881966e-05,0.7639019682387005
2013-10-11,5.397060840252837e-05,0.6003843512943181,9.125603924293421e-05,1.023696878911706,4.213459546645892e-05,3.349748496467464e-05,0.780695210107823
2013-10-14,5.390763459317086e-05,0.5986822015599128,8.792241627638488e-05,1.023608863019625,4.1216517326373755e-05,3.371029052708063e-05,0.7645766251371592
2013-10-15,5.553151341989191e-05,0.6080363317768553,8.858166208355002e-05,0.9450461026424188,4.264530231614199e-05,3.48403669348403e-05,0.7679477775742745
2013-10-16,4.144281603770634e-05,0.6415289282940122,9.191775490865499e-05,0.9064332032536424,3.959502101273608e-05,3.031835821590971e-05,0.955413381578871
2013-10-17,4.1583055321708076e-05,0.6423801871508077,8.866509835289167e-05,0.8941743142944671,3.900557511206567e-05,2.9293965971661616e-05,0.9380160935818284
2013-10-18,4.3823960134694674e-05,0.6027198719240239,8.481198999960291e-05,0.927953058868923,3.674514345511042e-05,3.0107350068926932e-05,0.8384715425573767
2013-10-21,4.4710412594374516e-05,0.6131404386128438,8.497950300580984e-05,0.9258706233985886,3.7793872397375615e-05,3.0047933833468475e-05,0.8453035927056253
2013-10-22,4.4371990394003997e-05,0.6278137492616729,8.570995986082432e-05,0.9165558383724484,3.871693092174441e-05,2.961301570075403e-05,0.8725533963645733
2013-10-23,3.6244305626284386e-05,0.6282746513930267,8.627601338800193e-05,0.9151353184033004,3.5132937603746624e-05,2.887123414181217e-05,0.9693367550203033
2013-10-24,4.040389782719303e-05,0.6054805926729387,8.688981819367443e-05,0.9289665770235416,3.587536296750476e-05,2.9237830389989373e-05,0.8879183667116287
2013-10-25,3.967999624918889e-05,0.6044716596206027,8.710812472557001e-05,0.9293361414926522,3.5537844877593256e-05,2.9274244180372575e-05,0.8956110946789643
