Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_LBTY.K,Predicted_Covariance,Future_Cov_45_LBTY.K,Beta_Predicted
2013-09-10,6.058865375686932e-05,0.4588410643059278,0.00012661588284505765,0.8925479834894976,4.018852098725555e-05,4.503947219803234e-05,0.6633011049977179
2013-09-11,5.2548421709793746e-05,0.45797751654642727,0.0001416323842637067,0.9034529666914406,3.950984074205563e-05,4.6481487127682014e-05,0.7518749270958971
2013-09-12,5.463125330927889e-05,0.45464825486010374,0.00015437919830043486,0.9102682956550722,4.175327068373544e-05,4.680867493061693e-05,0.764274442824174
2013-09-13,5.629719144726608e-05,0.4718463874268078,0.0001549724515927522,0.9116306584921154,4.407286170576006e-05,4.704828885219153e-05,0.7828607533120613
2013-09-16,5.4138744378514925e-05,0.46489184564796654,0.0001642178113063942,0.9205270505781676,4.383450916443831e-05,4.755718516875282e-05,0.8096698522959118
2013-09-17,5.7555509167455784e-05,0.4610589814595184,0.00017912824433676571,0.8998438424263339,4.681467053617345e-05,4.6474011507785944e-05,0.8133829621760059
2013-09-18,6.204530316157312e-05,0.45688873959752746,0.00018229021718547993,0.968503334904188,4.858996556496742e-05,4.786496201909745e-05,0.78313688690397
2013-09-19,6.178297806302708e-05,0.44556587007339926,0.00017515787174140197,0.9770296717103432,4.635121960337946e-05,4.9315107388950954e-05,0.7502263739390302
2013-09-20,6.675064824066973e-05,0.4365563669613125,0.0001792046337572072,1.0329241650056538,4.774662602928564e-05,4.854631942828864e-05,0.7152983122670957
2013-09-23,6.644616634370019e-05,0.44008791992212787,0.00017779812306885782,1.038152671373407,4.783414307819142e-05,4.808160765581628e-05,0.7198931964075097
2013-09-24,6.687102886618699e-05,0.44015513195669786,0.0001742907912003355,1.0236067643955655,4.751842014853312e-05,4.71106419241993e-05,0.7105980116384986
2013-09-25,5.221698153901886e-05,0.45360767009216474,0.00018019341592610846,1.0344213022137556,4.4000309392117664e-05,4.718113056602635e-05,0.8426436782685086
2013-09-26,5.0374063840171386e-05,0.4637141569216649,0.00019262823634860006,1.0027894763972305,4.5678709214766876e-05,4.57170968241523e-05,0.9067902355406128
2013-09-27,5.122431082106018e-05,0.47176984416160783,0.00019740245979193926,1.0473525776421984,4.743998238380045e-05,4.726352305598093e-05,0.9261224138187165
2013-09-30,5.1567877421329924e-05,0.4675967781267014,0.00020162321451453675,1.0649735328739125,4.76794684704352e-05,4.775058061815604e-05,0.9245962962732617
2013-10-01,5.3629225784131454e-05,0.4594791093800424,0.00020791240508152273,1.056107110990954,4.851842957911066e-05,4.640306985034255e-05,0.9047012868395157
2013-10-02,4.9785428743887e-05,0.46548801799585515,0.00021019304922456945,1.034722245178332,4.7617743072952455e-05,4.610787706841411e-05,0.9564594355090151
2013-10-03,5.1677659876475144e-05,0.45849684545432773,0.0002170309200673039,0.9944853318683982,4.8556634451998575e-05,4.381080699507177e-05,0.939605906460611
