Symbol,MSE,RMSE,MAE,R2,N
EWZ,3.79062531327676e-05,0.006156805432427405,0.004386849836625944,-2452.1662418487554,1264
EZU,5.812858697985644e-05,0.00762421058076549,0.005140225274841692,-2453.6165359740794,1264
IJH,3.689958799829676e-05,0.006074503107110635,0.004050897665639655,-2454.318541112953,1264
FXI,3.8437024755293096e-05,0.00619976005626775,0.004304403691232631,-2455.4027319212714,1264
SHY,3.827794382618658e-09,6.186917150422057e-05,4.6261879372858687e-05,-2455.8172527338074,1264
PG,6.517078024615853e-06,0.0025528568359028387,0.0019466957130560207,-2457.829415098091,1259
MO,7.85265359137148e-06,0.002802258658898475,0.00212330766385739,-2459.0850079969773,1259
IWM,4.4801006924602046e-05,0.0066933554309181915,0.004459025149991787,-2460.87383063909,1264
ORCL,3.814405486569622e-05,0.006176087342783959,0.004203238030121372,-2464.5688277364716,1259
MDY,3.755455452143142e-05,0.006128177096121767,0.004091020686150568,-2468.9550315921742,1264
BRCM,3.081906802817148e-05,0.005551492414492834,0.004272192507165904,-2487.4230096027504,1259
AXP,3.324710891900942e-05,0.005766030603370868,0.004078476373762423,-2488.544390556027,1264
GE,3.31080711424718e-05,0.005753961343498216,0.004042142154509464,-2489.959676501871,1259
UPS,1.7775570961518016e-05,0.004216108509220086,0.003019634980053198,-2495.568564143747,1259
NXPI,8.889525811372914e-05,0.009428428188925721,0.0067534872394045065,-2497.754259203591,1115
EFA,3.7892186095005355e-05,0.006155662928962676,0.00416453467033971,-2499.69915319925,1264
SSO,0.00010724422550473364,0.010355878789592588,0.007133750632713333,-2500.502725031292,1264
PXD,6.532349725870235e-05,0.008082295296430486,0.005826267090738131,-2506.7245946489757,1264
PM,1.111736167668564e-05,0.0033342707863467896,0.002491951316022834,-2509.507600467153,1259
IWR,3.348432703222628e-05,0.005786564354798646,0.003910325895441393,-2514.4527762843927,1264
XLB,4.1141642869543763e-05,0.006414175151143268,0.004391526951735818,-2515.4050751175632,1264
VEA,3.835618822918649e-05,0.006193237297987741,0.004192243169649572,-2517.3211206459096,1259
EEM,4.255834107619125e-05,0.006523675426949999,0.004459889112078524,-2519.2517070736726,1264
SPXU,0.00026068101535603406,0.01614561907627063,0.010575637785255946,-2529.580708659303,1264
MDT,2.330886603899088e-05,0.004827925645553262,0.003499128700330026,-2529.6665616630385,1264
VEU,3.7135067798869054e-05,0.0060938549210552305,0.004133463527426211,-2533.5862007564047,1264
IWD,2.9838550366441235e-05,0.0054624674247487496,0.003699821249115703,-2535.74799289597,1264
IBM,1.6801978681563373e-05,0.0040990216737123225,0.002963971166013984,-2543.328651801045,1264
AGN,1.77465753693042e-05,0.0042126684380929145,0.003121777894204837,-2546.5899325071036,1259
VTV,2.8455747411317225e-05,0.005334392881229993,0.0036240466803353854,-2553.187515664993,1264
HD,2.14921375804088e-05,0.004635961343713815,0.0032985737088953616,-2562.0886697277892,1264
EWJ,1.7590701459851934e-05,0.004194127019994976,0.0030867479703532486,-2563.876127490343,1264
T,9.331402594486612e-06,0.0030547344556420305,0.002279603116662905,-2565.798441199113,1259
KMB,6.033844854157973e-06,0.0024563885796343326,0.0019045151734605448,-2567.6777706119733,1259
UTX,3.073299911525577e-05,0.005543735123114719,0.0038817035555669963,-2567.878411602621,1264
VWO,4.01573114259251e-05,0.00633697967693799,0.004388146791854588,-2569.933807789008,1264
ALXN,1.9913738833800303e-05,0.004462481241842962,0.0038706532340357313,-2570.3285219839486,1264
SWKS,5.882658767370586e-05,0.007669849260168407,0.005830422413118681,-2575.183998926977,1264
XLI,3.5218794017587554e-05,0.0059345424438272875,0.004092757183370027,-2581.701806184725,1264
LLY,1.130307747240308e-05,0.0033620049780455534,0.002504642230121535,-2589.2090450035,1259
JNJ,9.896896420631761e-06,0.0031459333147146906,0.0023447573078081412,-2593.802741911353,1264
VTI,2.967374030598441e-05,0.005447360856964078,0.003739890518927716,-2599.8332785438547,1259
MSFT,2.073556675551184e-05,0.004553632259582655,0.0034483331736160795,-2600.2877851768085,1264
IVV,2.8223240893502612e-05,0.005312555024985869,0.003654894596501491,-2607.1608744795853,1259
UNP,3.155178078100196e-05,0.0056170971845787,0.004104872943768236,-2621.301986338234,1264
XLY,2.791125636683609e-05,0.005283110482172041,0.0037079397590509097,-2635.6661473055456,1264
AABA,2.9720152541042792e-05,0.005451619258627916,0.0038677713074609724,-2635.7576812880407,1264
LMT,1.2726688939538274e-05,0.0035674485195358145,0.002674894927908442,-2638.2050073488263,1264
CMCS.A,2.5980548576601346e-05,0.005097111787728551,0.003675968566185375,-2638.9630481962763,1264
BMY,1.0953554539078783e-05,0.003309615466950622,0.002594012176582676,-2639.8033055598926,1259
IWB,2.763974684324902e-05,0.005257351694841141,0.0036465601940533633,-2644.2369157716175,1264
